Case Study	Challenge	Solution	Overall Impact	Key Learnings	Future Prospects	
Case Study 60: Commonwealth Bank of Australia (CBA) – AI in Data Analytics	Previously, Commonwealth Bank of Australia (CBA) relied on manual document processing and traditional data analysis methods, which were slow, labor-intensive, and prone to human error. To enhance efficiency and accuracy, CBA replaced this approach with AI-powered document analysis tools by partnering with H2O.ai. This transformation involved integrating machine learning algorithms and natural language processing (NLP) to automate the analysis of billions of transactions, enabling faster and more data-driven decision-making.	Cost Savings: AI efficiently processes massive amounts of data, reducing labor costs and improving operational effectiveness. Headcount Reduction: Automation in data processing minimized the need for administrative roles. Customer Impact: AI-driven insights enable CBA to offer more personalized financial products, leading to higher customer satisfaction.	Enhanced Efficiency: AI accelerates data processing while minimizing errors. Scalable Data Analytics: AI enables the analysis of vast amounts of transaction data. Personalization: AI helps in tailoring financial offerings to individual customer needs.	CBA plans to expand the use of AI to integrate predictive analytics, enabling real-time decision-making and further personalizing financial services across more customer touchpoints.
Case Study 61: Wells Fargo – AI Integration Across Banking Operations	Previously, Wells Fargo relied on traditional manual processes for corporate finance evaluations and customer support, which were time-consuming and resource-intensive. To enhance efficiency and reduce costs, the bank replaced these legacy systems with AI-driven solutions. The transition involved integrating advanced machine learning algorithms, natural language processing (NLP), and robotic process automation (RPA) to automate financial assessments and customer interactions. AI now plays a critical role in fraud detection, risk assessment, and virtual customer assistance.	Cost Savings: Significant reductions in operational expenses through automation of back-end processes and front-line customer support. Headcount Reduction: Call center staff reduced while maintaining service quality through AI-driven customer interaction tools. Customer Impact: Faster responses and enhanced support through virtual assistants and chatbots drive higher customer retention rates.	Automation and Efficiency: AI reduces manual work and improves process speed. Risk Management: AI assists in detecting fraud and assessing financial risk. Customer Engagement: AI-powered tools boost interaction and satisfaction.	Future plans include further integration of AI for personalized financial advice, expansion of virtual assistants to cover more services, and use of predictive analytics for proactive customer support.
Case Study 62: JPMorgan Chase – AI-Powered Cash Flow Management	JPMorgan needed an efficient tool to help corporate treasuries analyze and forecast cash flows, reducing the heavy reliance on manual work and increasing accuracy in financial planning.	JPMorgan introduced Cash Flow Intelligence, an AI-powered tool that helps corporate treasuries analyze and forecast cash flows with significantly reduced manual effort. It has gained “tremendous” interest from clients, with a focus on reducing manual work by almost 90%.	90% Reduction in Manual Work: Corporate clients report drastic time savings. Increased Productivity: Automation enables quicker decision-making. Client Growth: Over 2,500 clients have adopted the tool, boosting JPMorgan’s service value.	AI in Financial Planning: Automating routine tasks improves operational efficiency. Scalable Solutions: AI adapts to increasing transaction volumes. Data-Driven Decision Making: Enhanced forecasting improves business strategies.	JPMorgan plans to continue refining the tool, with expectations of offering it as a paid service. The future may include expanding AI services, increasing client base, and generating more revenue through AI-driven solutions.
Case Study 63: Enhanced Customer Experience with LLMs	LLMs can help improve the online banking experience through efficient and empathetic service. Using advanced natural language processing, LLMs can analyze a client’s account, understand their intent, and offer fine-tuned solutions in real-time, increasing satisfaction and loyalty.	Banks can use LLM-powered chatbots for 24/7 personalized support, text generation, financial advice, and routine inquiry management to free up human agents, allowing them to focus on complex or specific requests. And thanks to generative AI assistants, the support team can quickly access relevant account information, product guides, or policies to address client queries more quickly.	Klarna, a Swedish BNPL company, boasts an AI-based customer service assistant integrated into their app. The OpenAI-powered assistant handles various requests and tasks, from helping clients select products to managing refunds and disputes. Thanks to generative AI models, the assistant understands and responds to customer queries in a way that resembles human interaction. The assistant is scalable and accessible, operating 24/7 in 35 languages to support customers globally.	Customer Service Automation: AI handles routine inquiries, improving response times and reducing agent workload. Scalability: The AI assistant can serve customers in different languages, ensuring global reach. Enhanced Customer Engagement: Personalized responses increase customer loyalty and satisfaction. AI-Powered Accessibility: Generative AI offers scalable and inclusive customer service. 24/7 Availability: Constant support improves client experiences worldwide. Conversational AI: LLMs can handle complex queries with human-like interaction.	Expansion may include incorporating deeper product knowledge, emotional sentiment analysis, and voice-enabled interfaces to further personalize and humanize the customer service experience.
Case Study 64: Klarna – Enhanced Customer Experience with LLMs	LLMs can help improve the online banking experience through efficient and empathetic service. Using advanced natural language processing, LLMs can analyze a client’s account, understand their intent, and offer fine-tuned solutions in real-time, increasing satisfaction and loyalty.	Banks can use LLM-powered chatbots for 24/7 personalized support, text generation, financial advice, and routine inquiry management to free up human agents, allowing them to focus on complex or specific requests. And thanks to generative AI assistants, the support team can quickly access relevant account information, product guides, or policies to address client queries more quickly.	Klarna, a Swedish BNPL company, boasts an AI-based customer service assistant integrated into their app. The OpenAI-powered assistant handles various requests and tasks, from helping clients select products to managing refunds and disputes. Thanks to generative AI models, the assistant understands and responds to customer queries in a way that resembles human interaction. The assistant is scalable and accessible, operating 24/7 in 35 languages to support customers globally.	Customer Service Automation: AI handles routine inquiries, improving response times and reducing agent workload. Scalability: The AI assistant can serve customers in different languages, ensuring global reach. Enhanced Customer Engagement: Personalized responses increase customer loyalty and satisfaction. AI-Powered Accessibility: Generative AI offers scalable and inclusive customer service. 24/7 Availability: Constant support improves client experiences worldwide. Conversational AI: LLMs can handle complex queries with human-like interaction.	Expansion may include incorporating deeper product knowledge, emotional sentiment analysis, and voice-enabled interfaces to further personalize and humanize the customer service experience.
Case Study 65: SouthState Bank – GenAI-Powered Virtual Assistant	GenAI-based virtual assistants can help bank employees find and make sense of complex information in contracts and other documents, like policies, credit memos, and trading information. Plus, it helps automate data extraction from documents such as loan applications and financial statements, reducing errors and speeding up their processing.	GenAI can also retrieve information from internal databases or the Internet, write code, summarize long documents, and generate templates so employees can make informed decisions or create reports faster. And don’t forget about its unparalleled skill in generating content for all kinds of marketing and social media activities.	Florida’s SouthState Bank has trained ChatGPT on its data and internal documents to help employees quickly access and analyze internal information. The bank’s employees use the tool for tasks such as composing emails, creating expense reports, detecting suspicious activity, and analyzing potential fraud. It also helps to summarize policies, understand regulatory documents, and create marketing materials.	Overall, the use of ChatGPT has reduced task completion times from 12-15 minutes to just seconds and improved the bank's productivity by 20%. Enhanced Efficiency: ChatGPT reduces task time dramatically. Automation: Streamlined report creation and data retrieval improve workflows. Increased Productivity: A 20% rise in productivity showcases the tool’s effectiveness. AI Assistance: GenAI can take over repetitive tasks, giving employees more time for strategic decision-making. Versatile Applications: The same tool can be applied to various banking functions, from compliance to marketing.	Future applications could include real-time decision support for banking transactions, further integrations with regulatory systems, and enhanced fraud detection capabilities.
Case Study 66: Deutsche Bank – GenAI for Risk Management and Business Optimization	Using LLMs, banks can analyze extensive volumes of unstructured data, including news articles, reports, internal documents, and regulatory filings, to forecast trends and assess market risks. This improves risk management, reduces exposure to market volatility, and augments regulatory compliance, resulting in higher returns and better financial performance.	Deutsche Bank has recognized the potential of generative AI and is using it to improve various areas of its business processes. In particular, the bank focuses on improving risk calculations using GenAI's fast data processing and analysis capabilities. In addition, the bank is developing software that improves developer productivity and using AI chatbots to handle employee and customer queries based on text and voice data. These initiatives provide insights into customer behavior, streamline internal workflows, and strengthen the bank’s risk assessment processes.	Improved Risk Management: GenAI enhances the bank’s ability to predict and mitigate risks. Developer Productivity: AI tools assist in coding and automate manual tasks. Customer Insights: AI enables real-time analysis of customer behavior.	Generative AI in Risk Assessment: Data processing and analysis power more accurate forecasting. Workflow Automation: AI chatbots and tools streamline employee and customer service operations. Business Optimization: AI aids in improving productivity and operational efficiency.	Future developments may focus on real-time regulatory compliance automation, advanced predictive models for market shifts, and further integrations with risk management and customer service tools across various platforms.
Case Study 67: Mastercard – GenAI for Fraud Prevention	Generative AI assists banks in detecting fraud by analyzing data to identify unusual patterns indicative of suspicious activity. They monitor transactions and customer communications in real time, allowing banks to quickly investigate anomalies that may signal scams or account manipulation. By recognizing known fraud patterns and adapting to emerging threats, these models effectively reduce false positives and protect customer accounts and assets.	Mastercard uses GenAI to improve its fraud prevention Decision Intelligence system, which currently processes 143 billion transactions per year. The upgraded system scans up to one trillion data points and analyzes the relationships between entities within transactions to determine potential risks more accurately. This new technology provides an improved assessment of account, merchant, and device data, increasing fraud detection rates by up to 20% on average and, in some cases, by as much as 300%.	Enhanced Fraud Detection: Increased fraud detection by up to 300%. Real-Time Risk Monitoring: Identifies potential threats in real-time. Scalable Solutions: Processes up to one trillion data points annually.	Pattern Recognition: AI learns and adapts to emerging fraud tactics. Reduced False Positives: More accurate fraud detection reduces unnecessary flags. Data-Driven Insights: Transaction relationships improve fraud detection accuracy.	Future expansions may include cross-platform fraud monitoring, integration with biometric data for transaction verification, and real-time alerts to further enhance security across global networks.
Case Study 68: Westpac – GenAI for Creditworthiness Assessment and Loan Assistance	LLMs can speed up banks' creditworthiness assessments by analyzing a wide range of complex information, including money transaction history, spending patterns, and social data. This enables a nuanced evaluation that gives lenders a clearer picture of risk while ensuring that borrowers with limited credit histories are considered more fairly.	Another use case for banking-specific LLMs is helping people fill out loan or mortgage forms. GenAI-based chatbots can guide borrowers through perplexing processes while bank workers can enjoy verified information and automated mortgage applications. The models dynamically adapt to new data, streamlining the lending process and reducing costs, leading to more comprehensive and accurate lending decisions.	Australia’s Westpac is working with Kasisto to test KAI-GPT, a bank-specific LLM designed to facilitate customer support and internal operations. Westpac will deploy KAI-GPT internally, primarily to support bankers, customer support agents, and mortgage officers. Initially, the AI will assist with mortgage applications, clarifying forms, and required information to speed up the lending process. KAI-GPT will also reduce errors by refining answers using industry-wide data and Westpac's proprietary information. This layered training approach ensures the system can draw on a broad range of banking knowledge while providing specific guidance based on Westpac's forms, policies, and documents.	Improved Creditworthiness Assessment: Broader and fairer evaluation of borrowers. Streamlined Loan Application: Faster and clearer mortgage process for customers. Error Reduction: Reduces mistakes in mortgage applications through better guidance. LLMs can increase decision accuracy by considering non-traditional data. AI Assistance: Chatbots make complex processes easier to navigate. Personalization: Tailored advice helps reduce customer frustration.	Westpac plans to expand KAI-GPT’s scope beyond mortgage support to assist in other banking services, such as customer service, financial planning, and fraud detection.
Case Study 69: BNY Mellon – Evisort AI-Powered Contract Automation	Originally, with each new custodial agreement, BNY Mellon tasked a team of lawyers to manually create a new contract based on approved, standardized agreement language and navigate a complex web of internal approvals and escalations. Contracts were sent by email through the approval process, with each lawyer individually reviewing prior changes, making new updates and emailing the updated contract to the next reviewer. This legacy process repeated itself until the agreement was finalized but came with a potential for gaps in accountability, version control and progress tracking. As a contract was finally executed, multiple review and summary forms then had to be compiled about the details of the agreement. This created additional time to the process contracts to ensure all documentation and compliance was completed. This led to prolonged onboarding periods for the client, resulting in increased costs.	BNY Mellon sought to automate the custodial agreement generation process to simplify stages of the review process with AI. We collaborated with Evisort, an AI company backed by Microsoft’s M12, that leverages ML and NLP to streamline contract generation, review and management. Evisort customized its artificial intelligence tools to review new custodial agreements based on BNY Mellon’s internal rules, guidelines, and processes. Evisort then used its AI technology to automatically create customized initial contracts and digitally coordinate with the necessary internal stakeholders for approval of special terms. Furthermore, Evisort's technology can automatically flag non-standard language and alert the necessary legal team members as well as automate the decision-making process, allowing attorneys to focus on more strategic tasks. For example, for all custody agreements, an attorney needs to fill out a detailed, multi-section worksheet to determine the most appropriate BNY Mellon legal entity to enter into a global custody or depositary agreement with a client. Evisort automates this decision-making process through a simple intake form.	Incorporating Evisort’s capabilities, BNY Mellon can now create, tailor, update and track contracts in a fraction of the time. In automating manual tasks, BNY Mellon is able to shorten and help streamline the onboarding process and effectively drive a better client end-experience. In leveraging AI, BNY Mellon will continue to improve contracting efficiency and establish the timely and appropriate escalation of deviations from standard contract language. The datatization of agreements additionally enables the bank to develop an instant "best first draft" that is tailored to each client, decreasing the amount of back and forth necessary in contract negotiations.	AI in Contracting: Automation of contract review and creation speeds up legal processes. Operational Efficiency: Reduces manual work, lowers costs, and improves client satisfaction. Data-Driven Decisions: Real-time data from contracts enhances compliance and monitoring.	BNY Mellon plans to leverage both NLP and ML to monitor risk exposure in contracts by using AI to identify nonstandard contract language, creating an alert system for ongoing obligations, unsigned contracts and/or upcoming renewal dates, as well as continuous monitoring of compliance as regulations change. In addition, AI will allow the bank to better understand common deviations and educate relationship managers on when those deviations are appropriate and the best course of action for proper mitigation.
Case Study 70: Commonwealth Bank of Australia (CommBank) – AI Integration	CommBank needed to improve customer service, detect fraud, enhance cybersecurity, and streamline operations using AI, while maintaining strong ethical governance.	CommBank integrates AI across operations, including fraud prevention tools, Generative AI-powered customer messaging, and automated credit reviews. The bank uses an AI Factory with AWS to accelerate development, providing hyper-personalized customer experiences. AI tools have reduced call center wait times by 40%, decreased customer scam losses by 50%, and automated loan applications.	AI-powered innovations have significantly improved customer outcomes and operational efficiency. Fraud prevention tools reduced scam losses, while AI-driven messaging systems enhanced customer service. The AI Factory’s partnership with AWS has enabled faster AI deployment.	Generative AI: AI powers personalized interactions at scale. Efficient Operations: AI streamlines loan applications and credit reviews. Ethical Governance: A principles-based framework ensures fairness, privacy, and accountability.	CommBank plans to expand its use of Generative AI, improve fraud prevention further, and provide more personalized services. They will continue investing in employee education and strengthening partnerships with AWS, H2O.ai, and Microsoft.
